	non_symbiosis	symbiosis	MeanDecreaseAccuracy	MeanDecreaseGini
OG0014397	0.000133333	0.000181818	0.000153846	0.010479179
OG0016908	0.000117647	0.000181818	0.000142857	0.008040925
OG0013738	-8.33E-05	0.000181818	1.72E-05	0.000974359
OG0006819	0.000426923	0.000179167	0.000309456	0.033719372
OG0015338	0.00025	0.000178571	0.000214286	0.008381202
OG0016972	0.000194444	0.000178571	0.0001875	0.012089901
OG0000149	5.95E-06	0.000178571	9.48E-05	0.023949554
OG0012200	0	0.000178571	8.62E-05	0.009845969
OG0000961	0.000121795	0.000178075	0.000153108	0.012542244
OG0010568	0.00055572	0.000177885	0.000369515	0.026792242
OG0005226	7.69E-05	0.000177778	0.000134387	0.021188796
OG0005423	0.000169643	0.000176923	0.000175595	0.015059141
OG0010446	0.000339367	0.000175	0.000266284	0.01356825
OG0000124	3.85E-05	0.000175	7.60E-05	0.009907416
OG0002306	2.63E-05	0.000175	7.41E-05	0.014444452
OG0001410	0.000281021	0.000174242	0.000242893	0.029008082
OG0002891	0.000184066	0.000174242	0.000179231	0.007340191
OG0000446	0.000192308	0.000173611	0.00017163	0.013728097
OG0009202	0.000627706	0.000172619	0.0004025	0.029798812
OG0000659	0.00024359	0.000172378	0.000210822	0.016479428
OG0013186	0.000226923	0.000171429	0.000191123	0.018695513
OG0010500	0.000279221	0.000170455	0.00022963	0.020233883
OG0013455	0.000266667	0.000166667	0.000211111	0.009958167
OG0010037	0.00021875	0.000166667	0.00018	0.022521899
OG0015975	0.000192308	0.000166667	0.00018	0.008305698
